"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,1395,1400,1395,1395,1375,1375,1350,1350,1350,1350,1350,1362.5,1395,1400,1400,1400,1390,1375,1396.5,1475,1500,1495,1450,1480,1447.5,1450,1450,1450,1450,1400,1400,1400,1450,1397.5,1450,1400,1380,1400,1450,1485,1450,1500,1495,1492.5,1500,1445,1450,1450,1400,1450,1515,1550,1530,1495,1495,1498,1500
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,1050,999.5,975,1000,1000,1000,1000,950,977.5,1050,1067.5,1100,1100,1100,1095,1050,995,999,997,1099,1100,1100,1099,1050,1060,1055,1112.5,1150,1100,1100,1095,1095,1100,1100,1150,1150,1150,1137.5,1100,1100,1150,1150,1100,1100,1100,1100,1149,1200,1197.5,1175,1160,1150,1150,1150,1100,1150,1200,1197.5,1200,1195,1197.5,1197.5,1200
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",3,,,,,1437.5,1400,1495,1500,1495,1497.5,1495,1450,1450,1362.5,1350,1395,1395,1400,1395,1385,1350,1350,1300,1300,1350,1350,1350,1450,1475,1400,1390,1375,1395,1395,1395,1395,1395,1400,1400,1400,1450,1422.5,1400,1400,1450,1400,1400,1450,1495,1497.5,1450,1497,1490,1475,1495,1498.5,1450,1450,1495,1450,1495,1500,1550,1497,1537.5,1600,1550,1490,1499
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",4,2044.5,2050,2150,1900,1800,1800,1800,1950,1800,1920,1950,1800,1800,2000,1795,1772.5,1850,2000,1895,1850,1700,1583,1675,1600,1775,1797.5,1750,1700,1695,1550,1772.5,1772.5,1800,1797.5,1795,1822.5,1850,1822.5,1775,1762.5,2000,2000,1925,1850,1850,1850,1950,2100,2050,2150,2200,2200,2097.5,2012.5,1987.5,1975,1825,1925,1825,2000,1995,2000,2222.5,1925,2250,2100,2100,1850,2125
"Washington Heights","New York","NY","New York","New York",5,,,,,,,,,,,,,,2650,2500,2600,2672.5,2695,2672.5,2750,2700,2672.5,2600,2695,2695,2750,2700,2700,2700,2697.5,2800,2800,2800,2750,2800,2750,2900,2950,2900,2995,3000,3095,3100,3100,2900,3050,2995,2995,3000,3000,3050,3000,2999.5,2999.5,3175,3195,3195,3147.5,3100,3050,3200,3200,3200,3275,3200,3150,3250,3250,3200
"Astoria","New York","NY","New York","Queens",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3200,3400,3200,3275,3450,3500,3225,3000,3000,3000,3100,3475,3500,3495,3500,3500,3950,3500,3500,3400,3000,3100,3000,3024.5,3200,3500,3500,3500,3497.5,3600
"Williamsburg","New York","NY","New York","Kings",7,,,,,,,,,,,,,,,,,,,,,,3999,3495,3495,3495,3600,4000,4000,4000,4000,4000,4200,4000,4000,4000,3800,3800,3800,3900,4000,4275,4500,4895,4900,4700,4550,4650,4500,4499,4433,4550,4795,4600,4775,4750,4772.5,4800,4200,4200,4235,4425,4635,4947,4995,4995,4800,4500,4799,4997
"Bedford Stuyvesant","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3200,3200,3250,3300,3200,3200,3200,3200,3200,3100,3100,3100,3149,3200,3299,3385,3385,3350,3300,3250,3300,3200,3250,3200,3200,3200,3350,3499,3500,3450,3499,3400,3400,3400,3300,3360,3500,3599,3600,3665,3600
"Flatbush","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2875,2699,2695,2695,2600,2600,2600,2850,2550,2575,2800,3000,2800,2800,2792.5,2625,2800,2500,2500,2674,2800,2800,2800,2900,3000,3000,3000,3095,3097.5,2999,3099,3099.5,3100,3100
"Crown Heights","New York","NY","New York","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3450,3250,3325,3208,3375,3199,3300,3389,3395,3595,3800,3700,3499.5,3499,3500,3525,3600,3500,3500,3725,3724.5,3600
