"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975,920,901,824,832,840,892,875,879,813,815,858,894,1048,989.5,955,875,895,927.5,900,875,882.5,955,993.5,939,875,919,914,910,1000,905,913.5,900,905,900.5,975
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,980,850,850,897.5,897.5,992,941,879,829,764.5,799,864.5,859.5,900,880,825,917,874.5,893,889,910,869,828,942.5,1050,1060,965
"Upper West Side","New York","NY","New York","New York",3,3462.5,3200,3350,2825,2647.5,2795,2800,2950,2800,2900,3000,2995,3000,3000,3100,3000,3000,3000,3000,3075,3100,3095,3200,3250,3300,3300,3150,3100,3000,3150,3100,3190,3300,3275,3295,3300,3400,3300,3300,3300,3300,3300,3300,3300,3400,3352.5,3390,3399,3350,3385,3350,3300,3380,3375,3399.5,3300,3350,3395,3430,3472.5,3440,3439,3400,3400,3385,3385,3395,3350,3324,3000,3250,3300
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1450,1437.5,1450,1495,1583.5,1700,1650,1495,1495,1550,1550,1595,1650,1795,1695,1795,1950,1750,1796.5,1795,1795,1887.5,1795,1820,1790,1862.5,1895,1950,1975,1875,1975,1945,1898,1925,1898.5,1985,1995,1995,1895,1919,1875,1825
"Upper East Side","New York","NY","New York","New York",5,2350,2300,2297.5,2300,2295,2450,2565,2500,2500,2500,2575,2500,2500,2600,2595,2595,2600,2595,2600,2650,2650,2650,2675,2695,2700,2750,2750,2700,2700,2695,2600,2600,2795,2750,2725,2750,2800,2750,2700,2700,2700,2775,2775,2750,2995,2750,2700,2700,2700,2750,2750,2700,2800,2800,2800,2700,2750,2765,2841,2850,2800,2795,2750,2750,2795,2800,2800,2795,2700,2699,2700,2750
"East New York","New York","NY","New York","Kings",6,,,,,,,,1550,1500,1425,1450,1450,1450,1470,1500,1500,1500,1500,1587.5,1600,1600,1592.5,1600,1600,1600,1600,1550,1587.5,1600,1550,1550,1500,1600,1600,1522.5,1500,1500,1520,1522.5,1500,1546,1550,1550,1600,1700,1600,1600,1650,1650,1600,1600,1650,1700,1800,1800,1800,1750,1800,1800,1792.5,1772.5,1800,1850,1812.5,1900,1900,1900,1800,1850,1850,1998,2000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1050,1100,1195,1200,1200,1150,1195,1150,1150,1050,977.5,1025,1150,1139,1100,1095,1050,1029,1035,999.5,1010,1000,950,1000,1179,1229,1189,1149,1194.5,1179,1174,1249,1250,1237,1220
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955,820,853.5,875,865,840,830.5,810,847.5,829,880,900,899.5,879,865,849,849.5,875,900,855,1000,950,952.5,983,940,950,959,912,936.5,951
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,786,786,821,725,720,783,799,808,789,761,739,750,749,737.5,739,700.5,775,780,784,850,885,885,900,885,875,825,910,883,890,880,915,996,933,922,898,951,914.5,915.5,919,929,975,964
"Washington Heights","New York","NY","New York","New York",10,,,,,1525,1450,1495,1475,1495,1500,1500,1500,1500,1550,1525,1500,1550,1525,1500,1475,1650,1650,1699,1650,1648,1595,1675,1650,1650,1660,1675,1700,1695,1699,1700,1750,1700,1700,1700,1700,1700,1700,1750,1800,1800,1800,1825,1850,1900,1850,1895,1900,1900,1900,1900,1900,1925,1950,1985,1950,1925,1950,1925,1900,1900,1950,1972.5,1950,1900,1900,2000,1900
