"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997.5,980,969,910,899,900,920,901,899,832,840,875,900,1038.5,972.5,950,895,926,950,915,892.5,897,965,1000,950,897,930,919,918,995,915,916,903,936,923,975.5
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,723.5,700,675,750,737,695,725,797.5,750,825,835,795,750,750,740,750,728.5,707,675,675,700,700,700,740,731,747,700,695,699,710,725,750,750,795,827.5,875,895,850,895,904.5,925,925,925,900,925,895,889,895,920,925,995,950,900,950,937.5,950,975,975,980,929,927,919,899,909,959,975,949,926,1000,995,1095,995
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,650,600,650,648.5,647,600,594.5,600,619,650,726,650,648,625,625,639,639,615,589,595,599,610,650,697,681,725,650,650,667,667,667,725,700,700,700,700,780.5,750,750,765,770,755,750,769.5,765,750,767.5,750,750,740,750,780,775,752.5,847.5,750,672.5,695,760,770,787,805,765,788,806
"Upper West Side","New York","NY","New York","New York",4,,2950,2900,2774.5,2972.5,2950,3000,3130,3412.5,3425,3200,2850,2700,2845,2912.5,3000,2850,3000,3095,3100,3195,3200,3195,3095,3100,3010,3030,3137,3165,3115,3200,3200,3299,3300,3200,3200,3200,3200,3200,3200,3300,3250,3270,3390,3400,3300,3315,3300,3300,3300,3300,3300,3400,3437,3450,3495,3495,3469.5,3445,3430,3450,3465,3495,3450,3495,3500,3510,3580,3550,3538,3500,3500,3500,3500,3500,3500,3450,3295,3400,3417
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,1447.5,1495,1495,1495,1510,1550,1622.5,1595,1495,1495,1577,1575,1550,1495,1585,1595,1499,1575,1595,1650,1640,1580,1557.5,1565,1622,1625,1650,1597.5,1695,1575,1650,1625,1750,1575,1575,1625,1600,1695,1725,1799,1795,1850,1995,1895,1850,1849,1849.5,1975,1899.5,1935,1895,2000,1998,1985,1995,1925,2050,1995,1995,2049,2011,2025,2095,2066.5,2050,1999,1900,1899
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,2250,2400,2500,2500,2500,2500,2595,2575,2595,2600,2550,2500,2550,2550,2575,2600,2600,2615,2650,2650,2700,2700,2750,2700,2695,2695,2695,2695,2695,2600,2659,2750,2795,2750,2749,2700,2700,2750,2750,2750,2950,2800,2800,2800,2800,2800,2845,2800,2895,2899.5,2900,2800,2885,2895,2950,2950,2895,2875,2855,2875,2900,2900,2900,2850,2800,2795,2800,2800
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,662,645,625,600,645,645,600,600,625,625,600,625,600,650,625,600,638.5,650,635,625,599,624,645,627.5,649,650,672.5,650,642,650,660,669,695,675,650,700,775,785,775,750,780,750,695,675,670,650,650,675,650,675,675,675,675,675,650,675,675,650,675,665,695,695,695,688,700,750,795,750,800
"East New York","New York","NY","New York","Kings",8,,,,,,,,,,,,,1600,1600,1550,1600,1500,1425,1450,1450,1450,1450,1500,1500,1483,1400,1450,1500,1500,1488,1450,1500,1500,1500,1500,1500,1500,1550,1550,1550,1550,1600,1545,1500,1500,1500,1500,1500,1545.5,1550,1550,1600,1700,1600,1600,1650,1650,1600,1600,1650,1700,1799,1749.5,1800,1749,1800,1800,1792.5,1700,1800,1800,1800,1850,1900,1895,1800,1812.5,1825,1900,1950
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1425,1497.5,1450,1489,1450,1425,1372.5,1400,1485,1372.5,1472.5,1495,1500,1695,1564,1750,1800,1695,1400,1350,1362.5,1400
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,,,,,,1100,997,995,1000,999.5,950,950,970,987.5,995,950,950,950,900,865,850,869.5,854,825,830,795.5,810,830,810,810,823,827,828.5,810,795,827,844,850,850,850,850,855,844,820,887.5,999,990,975,969,975,950,936.5,950,925,925,925,947.5,950,945,975,1025,1000,995,1000,1000,1000,1025,965,1076,1095,1076,1044,1042,995,1045,975,997.5,997.5
