"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Upper West Side","New York","NY","New York","New York",1,,,,1997.5,2000,1995,1900,1975,1995,2000,2030,2150,2100,2095,2049,2025,2095,2055,2100,2100,2075,2100,2195,2200,2229,2200,2199,2195,2175,2195,2156,2185,2200,2150,2185,2230,2250,2250,2275,2250,2250,2249.5,2250,2225,2200,2305,2257.5,2300,2297,2350,2322.5,2300,2275,2300,2350,2310,2305,2325,2350,2350,2350,2322.5,2322.5,2300,2387.5,2300,2345,2302.5,2350,2255,2299.5,2350
"Upper East Side","New York","NY","New York","New York",2,1787.5,1825,1800,1850,1695,1750,1750,1750,1800,1800,1800,1830,1850,1875,1850,1850,1850,1850,1850,1850,1875,1850,1850,1850,1875,1850,1875,1860,1850,1875,1875,1850,1895,1850,1895,1898,1900,1900,1900,1895,1900,1900,1900,1907,1900,1949,1950,1945,1950,1950,1950,1950,1950,1950,1997,1959,1953,1950,1995,1995,1995,1995,1995,1995,1995,1999,1995,1995,1975,1975,1975,1975
"Washington Heights","New York","NY","New York","New York",3,,,,,,,1185,1140,1150,1175,1125,1112.5,1162.5,1150,1150,1150,1195,1195,1200,1200,1285,1250,1250,1250,1250,1250,1200,1225,1250,1295,1295,1295,1250,1295,1300,1350,1395,1350,1350,1350,1350,1375,1375,1395,1395,1347.5,1362.5,1350,1350,1349,1350,1395,1400,1450,1400,1400,1450,1424.5,1395,1399,1372.5,1350,1372.5,1400,1400,1399,1399,1372.5,1399,1449,1399,1400
"Astoria","New York","NY","New York","Queens",4,,,,,,,,,,,,,,,1350,1550,1600,1450,1400,1400,1497.5,1450,1500,1700,1750,1800,1725,1700,1725,1600,1650,1750,1700,1700,1700,1850,1900,1799.5,1774.5,1790,1800,1800,1815,2000,2000,1975,2000,1990,1950,1900,1800,1795,1850,1860,1900,1900,2000,2000,2051.5,2010,2000,2050,2000,1950,1855,1850,1800,1975,1915,1921.5,1795,1795
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420,1400,1395,1290,1295,1250,1350,1425,1495,1462.5,1500,1510,1491.5,1497.5,1595
"Williamsburg","New York","NY","New York","Kings",6,,,,,,,,,,,,,,,,2200,1950,2200,2395,2395,2200,2295,2400,2310,2350,2348,2200,2250,2395,2300,2500,2538,2590,2549.5,2549,2549,2550,2600,2575,2600,2595,2550,2500,2550,2530,2510,2595,2595,2550,2546.5,2567,2550,2592.5,2610,2675,2795,2795,2765,2800,2777.5,2795,2850,2795,2772,2715,2600,2693,2595,2600,2705,2585,2599
"Bedford Stuyvesant","New York","NY","New York","Kings",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1550,1500,1500,1400,1350,1350,1315,1350,1400,1425.5,1500,1500,1550,1595,1550,1500,1500,1549,1670,1672.5,1597.5,1750,1698,1675,1696,1650,1600,1575,1600,1650,1700,1630,1700,1750,1800,1700,1800
"Flatbush","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,,,,,1100,1100,1100,1100,1100,1100,1150,1175,1200,1200,1199,1175,1200,1250,1299,1250,1200,1225,1263,1235,1250,1263,1300,1263,1300,1300,1399,1400,1395,1300,1350,1400,1395,1385,1400,1400,1400,1425,1512.5,1500,1500,1400,1400,1400,1500,1550,1595,1487,1550,1550,1525
"Crown Heights","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1699,1800,1775,1995,1850,1800,1700,1600,1600,1575,1699,1697,1700,1661,1690
"Jamaica","New York","NY","New York","Queens",10,,,,,,,,,,,,,,,,,,,,,,1062.5,1050,1196,1196,1152.5,1207,1202,1185.5,1176,1176,1250,1295,1279.5,1259,1312.5,1325,1300,1254.5,1224,1248,1248.5,1250,1310.5,1300,1395,1384,1428,1428,1425,1395,1397.5,1400,1425,1400,1457,1450,1466,1475,1363,1346,1376.5,1375,1392.5,1403,1463.5,1397,1367,1399,1399,1389,1500
