"RegionID","RegionName","City","State","Metro","CountyName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
192689,"Paradise","Las Vegas","NV","Las Vegas","Clark",1,197800,196900,196700,196500,196300,196700,197100,198400,200200,200800,200100,199300,198600,198500,198400,197900,197600,197900,198900,199200,198400,198000,198600,199100,199400,199400,199600,200200,200600,200400,199500,198600,199100,200300,201100,202700,205100,206600,207100,207300,208100,210200,212900,215700,218100,219400,219500,219800,219900,219700,219300,219500,221300,223600,224400,224800,226300,227900,228000,227400,227700,228000,228400,230200,233200,235600,237500,238600,239400,240500,241200,241900,243400,245700,248400,250300,250800,250600,251300,253300,256400,259900,263100,265000,266600,268700,270700,273100,277100,282900,289300,295300,299900,306200,317300,331800,347700,365000,382700,398200,409000,416000,422200,429300,435800,440100,445200,452900,460300,464900,468100,471100,474200,477800,481400,486700,491700,495200,497000,497800,496500,494000,492900,492600,491900,489200,486700,484600,484000,483800,481900,477500,474100,472800,470900,467600,463600,460100,456400,451100,443800,435700,425100,411900,397500,384300,373200,363900,355100,346700,338400,327500,319300,316000,312300,304100,294600,284900,275300,266500,260100,255800,252600,250400,245600,239700,237800,240200,241800,241400,239900,238400,236500,233600,230700,228600,226200,223100,220100,218000,217000,216100,214600,212600,210700,209600,209000,208700,208700,209100,209600,209900,209600,210200,212600,215300,218700,222400,224600,227700,233300,237700,238900,241100,245300,250900,257800,265200,271100,275600,279700,282900,284600,285600,287500,289500,291100,292600,293900,294500,295300,296700,298100,298700,300400,302400,303500,304800,308100,311900,314500,315200,314600,314600,315800,317700,318800,319900,320900,322100,323500,324700,325900,328600,332300,335100
112345,"Maryvale","Phoenix","AZ","Phoenix","Maricopa",2,74700,74700,74900,75100,75100,75200,75500,75900,76000,76200,76500,76700,77100,78000,78600,78800,78900,79300,79800,80300,80600,81300,82300,83300,83500,84100,85300,86200,86300,86100,85800,85800,86100,86500,87000,87800,88700,89400,89600,90000,90900,91600,92100,92300,92500,92800,93700,95100,96300,97200,98500,99200,99600,100300,101200,101700,102100,103200,104600,105300,106200,106800,107100,107400,107900,108300,109100,109700,110700,111700,112700,114000,115200,115700,116400,117900,119000,119100,119700,120800,122000,122900,123500,124400,125400,126600,127400,127900,128600,129500,130000,130700,131500,132000,132000,132200,132700,132900,132900,134000,136200,138300,140300,143100,146100,149600,153500,156800,160200,165500,171300,177200,183400,190600,197200,203300,208800,213600,217100,219500,220700,222300,225100,227900,230000,231300,232300,232700,233900,236600,238100,237500,237100,236500,236500,236300,234600,231800,229100,225400,222000,218700,214800,210400,207100,203700,199700,194700,190500,187100,183000,178700,176100,173400,169100,164100,159500,155100,148900,142800,138700,135400,130600,126000,117500,108000,102400,100700,98500,96200,94000,91400,87800,84800,84200,83900,84100,85100,86000,85500,84500,83300,82100,81000,80200,80000,79800,79500,79400,79800,80700,81700,82800,84600,87100,89300,90800,92100,93400,94700,96400,98100,100100,102700,105500,107000,109400,113800,117800,118900,119300,120700,122700,124400,125700,127000,128100,128500,128400,128500,129100,130000,131000,132900,136000,138700,139800,139600,140000,141500,143400,145300,147700,149800,151100,152200,154000,156000,157400,158100,160000,162200,163600,164500,166500,168600
27080,"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,489200,490100,488800,485500,484400,488200,490900,491100,494300,501400,505700,507300,510900,516100,521500,523300,519200,515000,516000,521600,529500,539600,549900,557500,561200,569400,580200,586400,590700,597800,606300,620100,637800,648900,653400,655600,656500,657100,665100,679400,691100,694700,699100,703600,708000,717500,728100,735200,739600,738700,732800,729500,728300,729400,734300,741100,746600,754200,767600,779500,783300,787300,796900,806700,813500,819500,825800,831800,832400,826900,821400,819900,827000,842500,858200,871900,888400,909500,928200,941400,949700,953600,961500,984100,1013500,1022600,1011700,1002000,1003700,1011200,1022600,1038300,1063500,1089300,1104600,1117100,1133200,1149100,1170000,1192200,1210700,1224800,1235600,1243100,1252600,1266600,1277200,1283000,1299800,1335100,1373000,1408000,1434400,1447500,1448100,1452100,1456200,1465200,1484400,1497500,1487800,1480600,1495100,1520000,1543000,1555600,1557500,1553000,1551100,1555500,1562400,1570300,1574200,1567100,1547300,1533700,1527000,1523000,1518600,1513200,1506700,1496700,1481800,1464200,1444500,1423000,1405500,1386100,1367300,1358600,1358200,1349600,1338900,1339600,1341800,1332100,1329400,1331800,1326300,1310700,1303300,1300900,1300600,1303100,1282400,1246300,1230700,1232200,1229500,1231600,1232900,1227800,1215600,1202700,1199300,1203900,1221800,1238600,1236900,1221900,1213900,1206500,1198600,1193900,1193800,1192100,1191200,1191000,1190900,1188400,1185200,1193900,1209800,1226100,1243700,1260900,1271400,1285100,1298200,1312300,1326300,1339400,1358200,1384500,1404300,1417300,1429600,1445300,1467500,1491600,1507800,1520700,1532400,1541800,1547800,1555800,1555600,1552600,1557200,1581100,1599300,1601100,1594200,1596700,1611700,1634700,1654800,1666200,1673900,1683200,1700600,1713000,1719500,1720600,1720200,1722900,1743100,1769600,1793200,1810800,1831700,1852700,1870800,1872700,1870300,1871200
118208,"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,144000,142800,142600,142600,140800,137500,136000,137000,138900,139900,140500,141400,142300,142600,142700,142400,142500,143700,145000,145700,146200,146900,147400,147700,147700,148200,149600,151500,153300,155000,156600,157200,156900,156300,156500,157400,158200,158400,158200,157700,158000,159600,160900,162200,163400,164300,165900,168200,170800,172900,173900,174100,174400,174200,173900,174800,177000,179400,180900,182300,184000,186300,188100,189600,190400,190800,190800,190600,191100,192600,194400,196400,199400,202700,205700,208700,212200,217500,223300,227900,230800,233200,235500,238100,240100,241500,244100,249000,254700,259000,262800,267100,273000,280200,287400,294200,301700,309500,317800,325800,333000,340500,349300,358200,367100,376900,387400,397600,407500,417200,425000,431900,440800,449800,457700,464600,469500,471800,475600,480500,487200,497700,511700,524900,533600,538900,542600,546000,551400,557200,559600,560300,560700,558500,552900,547100,543000,540300,534600,525900,517500,511500,504300,494000,480500,467400,455900,444300,431500,417900,405800,399400,390800,378100,368600,363600,355700,344700,333000,322400,314000,308600,306300,303900,301400,298500,294300,289100,286200,284700,285000,286800,289200,289800,289600,288800,288300,288300,288300,287800,286500,284600,282900,281800,280500,279800,279300,278800,278800,279700,281100,283000,286000,290600,294500,297000,299400,302400,304600,306800,309400,313900,319200,325500,331500,337500,342400,347500,351400,353500,355000,357700,361000,365300,369300,373100,379500,387300,393000,396800,401700,407900,414200,418100,420700,422900,425100,425300,424000,423800,427300,431300,433200,433800,435100,437400,440200,442700,445000,447700,451900,456500,460400,462400,467100,472300
192820,"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",5,172300,172200,172800,172200,171700,172800,174100,174800,175700,176700,177200,177100,177000,177100,177200,177300,177500,177800,178000,177600,177100,177000,177400,178200,179000,179500,180700,182600,183800,183800,182700,182200,183700,186100,187400,187600,188100,189400,190200,190900,191900,193100,194700,196700,197500,196900,196300,196000,195500,194000,192300,191700,192100,193500,195600,197700,198700,199700,200800,201100,201100,201600,202200,203800,206300,207900,208700,210100,210800,210400,209900,209900,210000,210800,212400,213600,214900,216200,216300,216000,217500,220400,223300,226200,229700,233300,236400,239400,242100,245300,250000,256300,263000,270500,279100,290700,304400,318300,333000,346000,354000,359200,364900,369800,375800,381300,385800,388900,392200,396500,403100,411000,417800,422200,427500,433100,435500,436800,439200,440000,439300,439100,437800,435900,436500,438100,439000,439100,439500,439700,439800,439400,437900,433800,429100,424000,418100,411500,404900,397100,389300,381400,373400,364200,354700,347000,341000,333700,323500,313400,304300,293600,281700,272600,265400,258400,252000,242700,228300,214400,206700,203600,199900,198600,199400,199100,196700,194000,190200,187400,185900,185300,184700,183500,182700,182100,179700,176100,173800,173400,172500,170400,169000,168200,167300,166300,165300,163800,163300,163700,164200,163700,164100,166800,170100,172200,172700,173300,174700,176600,178200,180200,183500,187600,191400,192800,194700,201200,211000,218000,221400,224200,227300,229600,231300,234300,236900,239800,244000,248000,249100,248100,246200,244400,244600,246200,246500,246900,250200,256000,262000,264600,263800,264500,269200,273800,276800,278900,279600,277800,277100,278400,279400,279500,281300,283800
192796,"Spring Valley","Las Vegas","NV","Las Vegas","Clark",6,237900,234800,232400,231100,230300,229500,228400,227600,229300,232500,234000,234400,235300,235800,235700,234900,234400,234300,234000,233700,234000,234100,233900,234100,235100,236200,238000,241500,244400,245700,246300,246700,246400,245500,244800,245200,245400,245800,246500,246800,246800,247700,249000,250200,250900,251000,251400,251900,252700,254200,255500,256000,256600,258000,259800,261500,263200,265500,267500,268600,269100,269000,268700,268600,268700,269700,272200,274900,276100,276800,277600,278200,278400,279100,280000,281000,282200,284000,285900,288000,290500,292400,294200,296700,299700,302700,305400,308500,313300,319300,325500,333100,342100,351200,362100,378100,398500,418600,438300,456700,471200,480300,487400,494500,502700,511200,517700,519700,519800,521700,525200,529500,533500,537300,540600,543100,545000,547300,550900,554200,555500,555400,555400,555100,556100,558800,559400,557200,553600,551000,548500,545200,540900,538400,536800,534800,529000,519500,510400,502900,493300,481500,469100,456300,443900,430800,418600,408800,401700,395100,386900,375300,365900,361100,356100,347200,337800,328700,318100,306700,297300,291600,288300,287400,285500,281600,277800,276200,274000,272000,271100,269800,266800,263400,261100,259600,258600,257100,255800,255100,254700,251500,246400,243200,242600,242400,241800,241200,240700,240800,241400,243000,246600,250800,254400,257400,259400,260500,262700,266500,270600,274300,278600,282600,286800,293000,301800,310500,318600,325100,329100,331200,334400,337800,340300,342200,343200,344300,347200,350300,351700,352100,352100,352000,352200,352200,353100,355500,359000,362700,365400,365700,365200,366600,369000,371500,373000,374100,374000,373000,372400,373400,375100,377700,381600,385300
268496,"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",7,125600,123700,122500,121500,119800,117700,116000,115900,117100,118300,119500,121000,123200,124900,125900,127000,128800,130500,131600,132700,134200,135200,135100,134900,135600,136300,137000,137100,137400,138000,138800,138400,137400,136100,135000,134400,134400,134400,134300,134700,135600,136500,136500,136500,136800,137300,138600,140600,141400,140900,141200,142100,142500,142700,143600,144800,145600,146900,148000,148500,149100,150700,152000,153000,153600,154300,154700,155000,155700,157200,158000,158600,160200,161700,162200,162800,163800,165100,167600,170900,173800,176400,180100,183800,186800,189400,192100,194700,197000,199300,202500,207500,213400,218800,223900,228900,234300,240800,248200,253200,258400,266100,274200,279500,283900,290000,297800,305600,313200,321800,332800,345400,356500,365600,374300,382000,389100,394300,398200,403000,409300,416400,425200,437000,448300,455900,459900,463300,467900,473500,477500,480000,482200,482000,479800,478400,477600,476400,473400,469600,465400,460600,453900,447800,440800,431400,419300,406500,394700,384100,372900,361800,343400,320700,304400,293800,282500,271900,261900,253300,246900,241200,236600,233800,235700,240800,243400,240900,238200,236800,236200,235300,234900,234000,233000,232500,233100,233800,233800,233300,234100,234400,234100,233700,233300,232500,231600,230700,231000,232200,234200,237400,241200,244800,248300,250900,251400,250800,251000,254200,259600,263600,265700,268000,269100,270000,272000,274500,276800,282300,289700,295000,297000,298600,300600,304000,309700,316700,322900,328600,334300,338300,341300,342400,342700,343500,346700,350300,353500,356500,359400,361400,363500,367000,368900,369300,369900,372700,376300,380400,383700,386200,388000,390000,392100,394000
112547,"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",8,226900,225100,223100,222000,222100,223100,223800,224600,226000,227400,228600,229600,230800,231100,231100,231800,232500,232500,232900,234200,236000,238400,240300,241800,243400,245700,247900,249600,250600,251100,251100,251300,251600,252200,253500,255500,257800,260800,262700,263500,265400,268500,271400,274500,278300,281800,284000,286200,288400,290700,292600,294000,295000,296800,298900,300400,301100,302200,303700,305800,308000,309900,311400,312800,314700,316400,317300,317200,315900,314800,316400,319100,320800,321400,322200,324400,326900,329300,331300,333800,336800,339400,340600,341600,343200,345000,348400,352600,355700,357700,361200,364700,368200,372000,376100,379600,384700,391600,400600,408800,415500,423300,433200,446100,462600,480600,498200,516200,535500,554400,572400,590400,607900,623200,637000,647600,653100,657000,658600,656300,652500,651300,649000,647200,650100,653100,653300,654700,658600,661000,661500,659700,655700,651200,647300,642500,635900,626200,616600,609300,601500,591000,582500,576300,569700,563200,557000,550100,544000,539900,533000,519800,511100,511000,509600,501500,493900,487300,480600,472700,464100,457900,452700,448600,436500,421100,411800,411400,410300,407700,405100,403400,399900,395200,392400,390700,389600,387800,385700,385200,383900,379500,374300,371400,371100,371800,371900,372800,376300,381800,387100,390000,393400,400200,407800,414000,419300,423400,428600,435400,441700,445500,448600,454000,461100,466600,471000,475600,480500,484700,489700,494300,499500,504000,506100,505500,504600,502000,499000,497600,496400,495100,495400,497300,499500,501600,503200,504000,504400,505900,507700,510000,512400,514800,515200,514700,517100,521900,524300,523800,525800,529300,531300,531900,533000,534400
111818,"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",9,198300,197300,196300,195700,196300,197700,198400,199400,200500,200700,200400,199100,197700,198300,200300,201800,203300,204900,206900,208900,210600,212900,215000,216000,215900,217100,219200,221200,220900,220300,219800,218600,218000,219000,222400,226700,230100,231500,232400,233000,234700,236400,237100,237300,238800,240900,241400,241400,243300,246400,249000,252500,255600,257300,258400,258800,258700,260400,262300,263000,263400,264800,266600,268700,271500,273800,274900,275700,277700,279600,281500,284300,287900,289300,287600,285300,285700,288400,290800,294500,298800,300800,300400,300800,301800,303300,306800,311300,314200,316000,319100,323300,327700,332400,337700,341800,345600,349600,352500,353700,354700,358400,364600,370900,377500,387600,400300,414700,428300,440300,455200,473500,489200,499500,509900,521000,526400,523700,520300,519600,521400,526700,532300,534400,536000,538000,538700,538900,540100,541200,541100,537800,531500,525500,520700,516100,512900,510500,507000,500600,493200,485300,475300,464000,456900,452100,443600,432800,422900,413700,405200,396400,389300,385900,383700,379400,372100,362200,353400,347900,344200,340100,335100,330600,325100,320200,317700,316800,316000,315300,314000,311800,308000,304000,301500,299800,298700,298500,299000,299100,296600,292700,289600,287000,286100,286700,286700,287300,290800,294200,296900,300500,305900,311200,316100,321400,326100,329900,334000,337900,340500,341700,342900,344800,348400,354400,361700,368600,374300,378600,380800,382300,383500,385400,387300,388500,388600,389500,391300,391900,390800,390400,390900,393200,396000,397300,397000,397500,397600,397200,396800,397300,398500,400100,402300,404200,406100,407000,406900,407500,409200,410000,409600,410000,412200,414900
41466,"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,168600,167400,165500,164600,164800,166200,167900,168400,167900,168100,169100,169900,169300,168100,167700,167600,168100,169600,172100,173800,174200,174100,175000,176100,178800,182900,185800,187000,187300,187200,186500,186800,189000,191600,194600,198000,202200,207300,211600,212600,213000,214400,216600,220000,223700,226400,229000,232200,234100,234400,234900,237200,240100,242600,244100,246100,248800,251300,254200,257400,261300,264400,266200,267400,267800,267800,269500,273100,277400,281700,285100,287900,291100,294800,300300,306000,313400,322200,327800,331500,337500,344200,350300,358600,365600,368700,371600,380300,391100,398600,404300,410000,416900,427200,437900,444800,451300,464000,480500,496000,506900,517000,530100,545200,555400,561700,565400,570800,581300,592100,598500,604800,614600,627300,639600,649000,650400,646900,649200,656000,657700,658400,662600,665500,667500,668700,668500,667700,667900,669700,673900,677300,681000,685300,687400,684400,673800,660100,648700,640300,630500,618700,605400,595300,582000,565400,549800,536200,523800,514100,506000,495900,481800,469400,462700,456400,449800,446900,445300,441700,436600,433300,432600,431300,443200,464300,471800,465300,467100,466700,460300,455000,455000,452300,448900,446500,443900,438800,435800,433300,427500,422300,420700,419900,419900,419400,415300,411200,406800,402400,402100,405400,405000,405200,408300,413000,417500,422300,425800,430700,435900,438700,440800,445800,453800,461700,470400,480500,489800,500300,513600,524300,528300,528600,528300,532000,539900,548400,552300,555200,559800,563800,566200,569900,572900,578800,589300,599400,604500,605200,603700,602200,600400,600600,602200,606900,611300,612600,611500,613500,616300,620100,623500,625100,626600,628700
