"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,1728,-0.0023094688221709,0.00523560209424084,0.0640394088669951,57046
2016-09-30,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,1206,-0.000828500414250207,-0.00248138957816377,0.0151515151515152,61870
2016-09-30,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",2,1047,-0.000954198473282443,0.00576368876080692,0.0872274143302181,49156
2016-09-30,"Upper West Side","NY","New York","New York","New York",3,3937,-0.00980885311871227,-0.0264589515331355,-0.0271806276254015,71048
2016-09-30,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,3536,-0.00225733634311512,0.00511654349061967,0.0806845965770171,19605
2016-09-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",5,2173,-0.00183739090491502,0.00508788159111933,0.0584510472479299,34570
2016-09-30,"Upper East Side","NY","New York","New York","New York",6,3581,-0.00720820626559468,-0.0258433079434168,-0.019709827539009,82605
2016-09-30,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",7,1082,0.000925069380203515,0.00557620817843866,0.0334288443170965,43549
2016-09-30,"East New York","NY","New York","Kings","New York",8,2207,-0.004510599909788,-0.0160499331252786,0.050952380952381,20236
2016-09-30,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",9,1226,0.000816326530612245,0.00327332242225859,0.0259414225941423,64681
2016-09-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",10,2052,0.00244259892525647,0.00934579439252336,0.088016967126193,25505
2016-09-30,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",11,1520,0,0.001977587343441,0.0263335584064821,60500
2016-09-30,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",12,1289,-0.000775193798449612,-0.000775193798449612,0.0353413654618474,53047
2016-09-30,"Washington Heights","NY","New York","New York","New York",13,2673,-0.00779510022271715,-0.00705794947994056,0.0264976958525346,14868
2016-09-30,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",14,2604,0.0023094688221709,0.010477299185099,0.0572472594397077,13888
2016-09-30,"Astoria","NY","New York","Queens","New York",15,2470,-0.00603621730382294,-0.00523560209424084,0.0152075626798192,23994
2016-09-30,"North Mountain","AZ","Phoenix","Maricopa","Phoenix",16,1189,0.0016849199663016,0.00592216582064298,0.0559502664298401,49662
2016-09-30,"Far North","TX","Dallas-Fort Worth","Dallas","Dallas",17,2214,-0.000902527075812274,0.000451875282422052,0.0212177121771218,31372
2016-09-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",18,2834,0.00176740897843761,0.0143163922691482,0.0662151993980436,11828
2016-09-30,"Williamsburg","NY","New York","Kings","New York",19,2879,-0.00207972270363951,-0.00963192294461644,0.00418555981862574,23856
2016-09-30,"Bedford Stuyvesant","NY","New York","Kings","New York",20,2466,-0.00444085587404118,-0.00924065889915629,0.0069416088199265,26319
2016-09-30,"East Side","TX","El Paso","El Paso","El Paso",21,1025,-0.00194741966893866,-0.00774443368828654,-0.0482822655524605,39736
2016-09-30,"Camelback East","AZ","Phoenix","Maricopa","Phoenix",22,1379,-0.00144822592324403,-0.00144822592324403,0.045489006823351,48124
2016-09-30,"Alhambra","AZ","Phoenix","Maricopa","Phoenix",23,1120,0.000893655049151028,0.00991884580703336,0.0916179337231969,34382
2016-09-30,"Flatbush","NY","New York","Kings","New York",24,2170,0.0023094688221709,0.00462962962962963,0.0303893637226971,15016
2016-09-30,"Crown Heights","NY","New York","Kings","New York",25,2434,-0.00409165302782324,-0.0141757796678817,0.0300465509944985,16424
2016-09-30,"Southeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",26,1088,0.00184162062615101,0.0139794967381174,0.0719211822660099,30647
2016-09-30,"Jamaica","NY","New York","Queens","New York",27,2163,0.00278164116828929,0.00745225896599907,0.0484730974309258,22463
2016-09-30,"Harlem","NY","New York","New York","New York",28,3018,-0.00231404958677686,-0.00363156157147573,0.0303857972004097,16454
2016-09-30,"Roosevelt","CA","Fresno","Fresno","Fresno",29,1090,0.00275988960441582,0.000918273645546373,0.0341555977229602,26628
2016-09-30,"Williamsbridge","NY","New York","Bronx","New York",30,1789,-0.00776483638380477,-0.0148678414096916,0.0147475893363585,12017
2016-09-30,"East Harlem","NY","New York","New York","New York",31,2983,-0.00467133800467134,-0.00864074443336657,0.000335345405767941,9940
2016-09-30,"Bushwick","NY","New York","Kings","New York",32,2548,-0.00546448087431694,-0.0150753768844221,0.0340909090909091,13542
2016-09-30,"North Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",33,2532,0.00277227722772277,0.0091669988043045,-0.00236406619385343,60571
2016-09-30,"East Flatbush","NY","New York","Kings","New York",34,2132,0.00946969696969697,0.0215620507906085,0.0916538658474142,15823
2016-09-30,"Enterprise","NV","Las Vegas","Clark","Las Vegas",35,1291,-0.00154679040989946,-0.00615858352578907,0.00232919254658385,52952
2016-09-30,"East San Jose","CA","San Jose","Santa Clara","San Jose",36,3102,0.00193798449612403,0.012402088772846,0.089185393258427,20520
2016-09-30,"South Mountain","AZ","Phoenix","Maricopa","Phoenix",37,1147,-0.00174064403829417,-0.00434027777777778,0.061054579093432,32182
2016-09-30,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby","Memphis",38,893,-0.00334821428571429,-0.0143487858719647,-0.0132596685082873,41535
2016-09-30,"Corona","NY","New York","Queens","New York",39,2279,-0.0129926375054136,-0.020627417275462,0.0110913930789707,9934
2016-09-30,"Sunset Park","NY","New York","Kings","New York",40,2241,-0.00133689839572192,-0.000891662951404369,0.0526068576796618,9248
2016-09-30,"South Side","TX","Corpus Christi","Nueces","Corpus Christi",41,1548,-0.00193423597678917,-0.00641848523748395,-0.0208728652751423,30250
