"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,1826,-0.000547345374931582,0.00772626931567329,0.0779220779220779,52247
2016-09-30,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,1222,0.00163934426229508,0.00163934426229508,0.0225941422594142,57470
2016-09-30,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",2,1046,-0.000955109837631328,0.0048030739673391,0.0861889927310488,47687
2016-09-30,"Upper West Side","NY","New York","New York","New York",3,4095,-0.013728323699422,-0.0378289473684211,-0.0291607396870555,39064
2016-09-30,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,3752,0.00186915887850467,0.0176295090859778,0.103854074727861,17194
2016-09-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",5,2213,0,0.0036281179138322,0.0423928403203015,22323
2016-09-30,"Upper East Side","NY","New York","New York","New York",6,3988,-0.00721931789892955,-0.0244618395303327,-0.0261294261294261,39467
2016-09-30,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",7,1085,0,0.00370027752081406,0.028436018957346,40751
2016-09-30,"East New York","NY","New York","Kings","New York",8,2171,0.000460829493087558,-0.00912825193975354,0.0822532402791625,5601
2016-09-30,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",9,1226,0.000816326530612245,0.00327332242225859,0.0250836120401338,61719
2016-09-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",10,2067,0.000484027105517909,0.00193892389723703,0.0665634674922601,13669
2016-09-30,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",11,1548,-0.000645577792123951,0.000646412411118293,0.0313124583610926,57868
2016-09-30,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",12,1291,-0.000773993808049536,-0.000773993808049536,0.0352846832397755,51392
2016-09-30,"Washington Heights","NY","New York","New York","New York",13,2827,-0.00667603654251581,-0.0115384615384615,0.0239043824701195,4265
2016-09-30,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",14,2647,0.00341167551175133,0.0149539877300614,0.0639067524115756,11508
2016-09-30,"Astoria","NY","New York","Queens","New York",15,2334,-0.0105977108944468,-0.0315352697095436,-0.0634028892455859,5130
2016-09-30,"North Mountain","AZ","Phoenix","Maricopa","Phoenix",16,1192,0.00168067226890756,0.00505902192242833,0.0492957746478873,46817
2016-09-30,"Far North","TX","Dallas-Fort Worth","Dallas","Dallas",17,2288,-0.00174520069808028,-0.00305010893246187,0.0241718889883617,28901
2016-09-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",18,3156,0.0019047619047619,0.0190506942202131,0.11244272118435,5515
2016-09-30,"Williamsburg","NY","New York","Kings","New York",19,2914,-0.00410116199589884,-0.016537293283834,0.0034435261707989,8622
2016-09-30,"Bedford Stuyvesant","NY","New York","Kings","New York",20,2649,-0.00600375234521576,-0.0119358448340172,0.0367906066536203,3565
2016-09-30,"East Side","TX","El Paso","El Paso","El Paso",21,1031,-0.00386473429951691,-0.0124521072796935,-0.0506445672191529,36834
