"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,1230,0.00654664484451719,0.0215946843853821,0.101163831692032,10926
2016-09-30,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,903,0.00110864745011086,-0.00220994475138122,-0.00878155872667398,21964
2016-09-30,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",2,874,0.00807381776239908,0.0150987224157956,0.00575373993095512,4737
2016-09-30,"Upper West Side","NY","New York","New York","New York",3,3922,-0.00909550277918141,-0.0258320914058619,-0.0265574584264085,67702
2016-09-30,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,2527,-0.00158040300276571,-0.00315581854043392,0.0489829804898298,7124
2016-09-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",5,2081,0.000480769230769231,0.0126520681265207,0.110458911419424,10726
2016-09-30,"Upper East Side","NY","New York","New York","New York",6,3571,-0.00722824576035585,-0.0243169398907104,-0.0176066024759285,78366
2016-09-30,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",7,789,-0.00126582278481013,-0.00629722921914358,0.00766283524904214,7463
2016-09-30,"East New York","NY","New York","Kings","New York",8,2203,-0.0054176072234763,-0.0169567157518965,0.0440758293838863,15613
2016-09-30,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",9,885,0.00340136054421769,0.00454029511918275,0.0172413793103448,22356
2016-09-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",10,2027,0.00445986124876115,0.0150225338007011,0.121128318584071,10441
2016-09-30,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",11,1185,-0.0016849199663016,0,0.0496014171833481,11291
2016-09-30,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",12,1044,0,-0.00191204588910134,0.0524193548387097,5250
2016-09-30,"Washington Heights","NY","New York","New York","New York",13,2658,-0.00672645739910314,-0.00598354525056096,0.0258587417985334,14090
2016-09-30,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",14,2118,0.0047438330170778,0.0100143061516452,0.0670025188916877,4309
2016-09-30,"Astoria","NY","New York","Queens","New York",15,2464,-0.00605082694634933,-0.00444444444444444,0.0160824742268041,21302
2016-09-30,"North Mountain","AZ","Phoenix","Maricopa","Phoenix",16,1042,0.00288739172281039,0.0146056475170399,0.0720164609053498,10871
2016-09-30,"Far North","TX","Dallas-Fort Worth","Dallas","Dallas",17,1337,0.00224887556221889,0.012112036336109,0.0738955823293173,8906
2016-09-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",18,2702,-0.0033198081888602,0.00520833333333333,0.0743538767395626,8548
2016-09-30,"Williamsburg","NY","New York","Kings","New York",19,2880,-0.00207900207900208,-0.0106492614221917,0.00383408853258975,22832
2016-09-30,"Bedford Stuyvesant","NY","New York","Kings","New York",20,2465,-0.00444264943457189,-0.0092443729903537,0.00653327888934259,24308
2016-09-30,"East Side","TX","El Paso","El Paso","El Paso",21,895,0,-0.00222965440356745,-0.00111607142857143,2910
2016-09-30,"Camelback East","AZ","Phoenix","Maricopa","Phoenix",22,1172,-0.00340136054421769,0.00085397096498719,0.0772058823529412,19990
2016-09-30,"Alhambra","AZ","Phoenix","Maricopa","Phoenix",23,993,0.00303030303030303,0.0060790273556231,0.0597652081109925,9172
2016-09-30,"Flatbush","NY","New York","Kings","New York",24,2036,-0.00440097799511002,-0.0164251207729469,-0.0178485287023637,11222
2016-09-30,"Crown Heights","NY","New York","Kings","New York",25,2449,-0.00325600325600326,-0.0113039967702866,0.0385920271416455,13174
2016-09-30,"Southeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",26,946,0.0117647058823529,0.0260303687635575,0.0861079219288175,1183
2016-09-30,"Jamaica","NY","New York","Queens","New York",27,2119,-0.00422932330827068,-0.0107376283846872,0.0261501210653753,10917
2016-09-30,"Harlem","NY","New York","New York","New York",28,2999,-0.00166444740346205,-0.00299202127659575,0.0298763736263736,15111
2016-09-30,"Roosevelt","CA","Fresno","Fresno","Fresno",29,787,0,0.00510855683269476,0.081043956043956,2493
2016-09-30,"Williamsbridge","NY","New York","Bronx","New York",30,1776,-0.0105849582172702,-0.0209481808158765,0.00566251415628539,9074
2016-09-30,"East Harlem","NY","New York","New York","New York",31,2979,-0.00434491978609626,-0.00832223701731025,-0.00134093194770365,9278
2016-09-30,"Bushwick","NY","New York","Kings","New York",32,2546,-0.00546875,-0.0150870406189555,0.0336987413723102,12604
2016-09-30,"North Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",33,1449,0.00415800415800416,0.0132867132867133,0.05,19250
2016-09-30,"East Flatbush","NY","New York","Kings","New York",34,2047,0.00887136520453425,0.018407960199005,0.0672575599582899,10521
2016-09-30,"Enterprise","NV","Las Vegas","Clark","Las Vegas",35,1113,0.0027027027027027,0.0018001800180018,0.0324675324675325,8524
2016-09-30,"East San Jose","CA","San Jose","Santa Clara","San Jose",36,2627,0.00458891013384321,0.0119414483821263,0.0744376278118609,2495
2016-09-30,"South Mountain","AZ","Phoenix","Maricopa","Phoenix",37,1125,-0.00088809946714032,0.00536193029490617,0.0848601735776278,3776
2016-09-30,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby","Memphis",38,974,-0.00102564102564103,-0.00612244897959184,0.0124740124740125,5210
2016-09-30,"Corona","NY","New York","Queens","New York",39,2271,-0.0134665508253692,-0.0223848471803702,0.00754214729370009,8868
2016-09-30,"Sunset Park","NY","New York","Kings","New York",40,2239,-0.00133809099018733,-0.000892458723784025,0.0526563234602727,8854
2016-09-30,"South Side","TX","Corpus Christi","Nueces","Corpus Christi",41,1249,-0.0023961661341853,-0.0047808764940239,0.00970088924818108,2143
