"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,1957,0.000511247443762781,0.00928313563692625,0.0764576457645765,46120
2016-09-30,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,1284,0,0,0.0110236220472441,39906
2016-09-30,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",2,1056,-0.000946073793755913,0.00667302192564347,0.0920372285418821,44419
2016-09-30,"Upper West Side","NY","New York","New York","New York",3,4199,-0.0129290079924777,-0.0395699908508692,-0.036484625975218,3346
2016-09-30,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,4381,0.00343563902885937,0.0259953161592506,0.139994795732501,12481
2016-09-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",5,2217,0.000902934537246049,0.0054421768707483,0.0428033866415804,23844
2016-09-30,"Upper East Side","NY","New York","New York","New York",6,3900,-0.00914634146341463,-0.0324981394194989,-0.0276738967838444,4239
2016-09-30,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",7,1119,0.000894454382826476,0.00629496402877698,0.0322878228782288,36086
2016-09-30,"East New York","NY","New York","Kings","New York",8,2213,-0.0018042399639152,-0.0151312861593235,0.0644540644540645,4623
2016-09-30,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",9,1333,-0.000749625187406297,-0.00299177262528048,0.00908402725208176,42325
2016-09-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",10,2080,0.000962463907603465,0.00192678227360308,0.0672139558748076,15064
2016-09-30,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",11,1651,-0.00181378476420798,-0.00181378476420798,0.0241935483870968,49209
2016-09-30,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",12,1323,0,0.00684931506849315,0.049167327517843,47797
2016-09-30,"Washington Heights","NY","New York","New York","New York",13,2931,-0.00778605280974949,-0.0111336032388664,0.0638838475499093,778
2016-09-30,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",14,2749,0.00438436244062843,0.0151403249630724,0.0708998831320608,9579
2016-09-30,"Astoria","NY","New York","Queens","New York",15,2346,-0.0109612141652614,-0.0265560165975104,-0.0627247303236117,2769
2016-09-30,"North Mountain","AZ","Phoenix","Maricopa","Phoenix",16,1222,0.00163934426229508,0.00825082508250825,0.0471293916023993,38791
2016-09-30,"Far North","TX","Dallas-Fort Worth","Dallas","Dallas",17,2514,-0.00119189511323004,-0.00238095238095238,0.0153473344103393,22466
2016-09-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",18,3334,0.000600240096038415,0.0164634146341463,0.06688,3280
2016-09-30,"Williamsburg","NY","New York","Kings","New York",19,2866,0,-0.00278357689631176,0.00385288966725044,1024
2016-09-30,"Bedford Stuyvesant","NY","New York","Kings","New York",20,2486,-0.00360721442885772,-0.00520208083233293,0.0176013098649202,2011
2016-09-30,"East Side","TX","El Paso","El Paso","El Paso",21,1029,-0.00290697674418605,-0.0115273775216138,-0.0507380073800738,36826
2016-09-30,"Camelback East","AZ","Phoenix","Maricopa","Phoenix",22,1701,0.00294811320754717,0.0167364016736402,0.0584940883634101,28134
2016-09-30,"Alhambra","AZ","Phoenix","Maricopa","Phoenix",23,1137,0.000880281690140845,0.00441696113074205,0.0746691871455577,25210
2016-09-30,"Flatbush","NY","New York","Kings","New York",24,2373,0.000843525938422607,-0.0050314465408805,0.0598481464939705,2579
2016-09-30,"Crown Heights","NY","New York","Kings","New York",25,2482,0.00445163901254553,0.0130612244897959,0.0454928390901432,1773
2016-09-30,"Southeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",26,1094,0,0.0120259019426457,0.0694037145650049,29464
2016-09-30,"Jamaica","NY","New York","Queens","New York",27,2186,0.00644567219152855,0.0176908752327747,0.0611650485436893,11546
2016-09-30,"Harlem","NY","New York","New York","New York",28,3301,-0.00602228244504667,-0.00781484821160204,0.0280286515104329,1343
2016-09-30,"Roosevelt","CA","Fresno","Fresno","Fresno",29,1115,0.0036003600360036,0.000897666068222621,0.0191956124314442,24135
2016-09-30,"Williamsbridge","NY","New York","Bronx","New York",30,1816,-0.00383982446516731,-0.00547645125958379,0.0341685649202733,2943
2016-09-30,"East Harlem","NY","New York","New York","New York",31,3039,-0.006538084341288,-0.00848287112561175,0.0259959486833221,662
2016-09-30,"Bushwick","NY","New York","Kings","New York",32,2517,0.000795228628230616,-0.00198255352894528,0.0173807599029911,990
2016-09-30,"North Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",33,3185,0.000942803268384664,0.00631911532385466,0.0107902253252936,41321
2016-09-30,"East Flatbush","NY","New York","Kings","New York",34,2184,0.0111111111111111,0.0234301780693533,0.0958354239839438,5302
2016-09-30,"Enterprise","NV","Las Vegas","Clark","Las Vegas",35,1341,-0.000745156482861401,-0.00813609467455621,0.00751314800901578,44428
2016-09-30,"East San Jose","CA","San Jose","Santa Clara","San Jose",36,3120,0.00192678227360308,0.0123296560674886,0.0882455528426927,18025
2016-09-30,"South Mountain","AZ","Phoenix","Maricopa","Phoenix",37,1151,-0.00173460537727667,-0.00432525951557093,0.0608294930875576,28406
2016-09-30,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby","Memphis",38,890,-0.00112233445566779,-0.00669642857142857,-0.00669642857142857,36325
2016-09-30,"Corona","NY","New York","Queens","New York",39,2360,-0.00673400673400673,-0.010896898575021,0.0447100486941124,1066
