SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,Single Family Residential,1 Beachmont Dr,SAN FRANCISCO,CA,94132,1788000,4,3,SAN FRANCISCO,2490,4626,1938,9,Active,,,http://www.redfin.com/CA/San-Francisco/1-Beachmont-Dr-94132/home/835947,MLSListings,62795492,N,Y,37.7344099,-122.474386
MLS Listing,Condo/Co-op,1 Hawthorne St Unit 22C,San Francisco,CA,94105,1875000,2,2,Yerba Buena,1314,,2010,38,Active,,,http://www.redfin.com/CA/San-Francisco/1-Hawthorne-St-94105/unit-22C/home/40429303,San Francisco MLS,62381744,N,Y,37.78577,-122.3988537
MLS Listing,Condo/Co-op,1000 3rd St #1007,San Francisco,CA,94158,2098000,3,2,Mission Bay,1639,,,25,Active,,,http://www.redfin.com/CA/San-Francisco/1000-3rd-St-94158/unit-1007/home/109320928,San Francisco MLS,62571416,N,Y,37.7734359,-122.3898896
MLS Listing,Condo/Co-op,101 Lombard St Unit 105E,San Francisco,CA,94111,949000,1,1,North Waterfront,936,,1983,8,Active,,,http://www.redfin.com/CA/San-Francisco/101-Lombard-St-94111/unit-105E/home/1738047,San Francisco MLS,62803863,N,Y,37.8035204,-122.4043894
MLS Listing,Condo/Co-op,101 Lombard Unit 902W,San Francisco,CA,94111,1830000,2,2,North Waterfront,1532,,1983,14,Active,,,http://www.redfin.com/CA/San-Francisco/101-Lombard-St-94111/unit-902W/home/538912,San Francisco MLS,62718774,N,Y,37.8035204,-122.4043894
MLS Listing,Townhouse,101 States St #5,San Francisco,CA,94114,1550000,4,2.5,Corona Heights,1635,,1977,3,Active,,,http://www.redfin.com/CA/San-Francisco/101-States-St-94114/unit-5/home/672651,San Francisco MLS,62866507,N,Y,37.763039,-122.437525
MLS Listing,Townhouse,101 States St #7,San Francisco,CA,94114,1825000,4,2.5,Corona Heights,1807,,1977,44,Active,,,http://www.redfin.com/CA/San-Francisco/101-States-St-94114/unit-7/home/1494171,San Francisco MLS,62267439,N,Y,37.763039,-122.437525
MLS Listing,Single Family Residential,1010 Silliman St,San Francisco,CA,94134,849000,3,1.5,Portola,1496,2395,1954,11,Active,,,http://www.redfin.com/CA/San-Francisco/1010-Silliman-St-94134/home/1293838,San Francisco MLS,62760929,N,Y,37.7287406,-122.4153519
MLS Listing,Condo/Co-op,1019 Kansas St,San Francisco,CA,94107,549000,1,1,Potrero Hill,909,,1907,2,Active,,,http://www.redfin.com/CA/San-Francisco/1019-Kansas-St-94107/home/994444,San Francisco MLS,62893501,N,Y,37.756753,-122.40246
MLS Listing,Condo/Co-op,1026 Sanchez St,San Francisco,CA,94114,1349000,2,2,Noe Valley,,,1890,37,Active,November-15-2016 12:30 PM,November-15-2016 02:00 PM,http://www.redfin.com/CA/San-Francisco/1026-Sanchez-St-94114/home/1542652,San Francisco MLS,62391003,N,Y,37.7526719,-122.430076
